age,fare,embarked,sex,pclass,body,cabin,survived
17.0,14.4583,C,female,3.0,,,0
30.0,7.225,C,male,3.0,,,0
23.0,7.8542,S,male,3.0,,,0
13.0,7.2292,C,female,3.0,,,1
20.0,7.225,C,male,3.0,,,0
32.0,15.85,S,male,3.0,,,0
33.0,15.85,S,female,3.0,,,1
0.75,19.2583,C,female,3.0,,,1
0.75,19.2583,C,female,3.0,,,1
5.0,19.2583,C,female,3.0,,,1
24.0,19.2583,C,female,3.0,,,1
18.0,8.05,S,female,3.0,,,1
40.0,7.225,C,male,3.0,,,0
26.0,7.8958,S,male,3.0,,,0
20.0,7.2292,C,male,3.0,,,1
18.0,14.4542,C,female,3.0,,,0
45.0,14.4542,C,female,3.0,,,0
27.0,7.8792,Q,female,3.0,,,0
22.0,8.05,S,male,3.0,,,0
19.0,8.05,S,male,3.0,,,0
26.0,7.775,S,male,3.0,,,0
22.0,9.35,S,male,3.0,,,0
,7.2292,C,male,3.0,,,0
20.0,4.0125,C,male,3.0,,,0
32.0,56.4958,S,male,3.0,,,1
21.0,7.775,S,male,3.0,,,0
18.0,7.75,S,male,3.0,,,0
26.0,7.8958,S,male,3.0,,,0
6.0,15.2458,C,male,3.0,,,0
9.0,15.2458,C,female,3.0,,,0
,7.225,C,male,3.0,,,0
,15.2458,C,female,3.0,,,0
,7.75,Q,female,3.0,,,0
40.0,15.5,Q,male,3.0,,,0
32.0,15.5,Q,female,3.0,,,0
21.0,16.1,S,male,3.0,,,0
22.0,7.725,Q,female,3.0,,,1
20.0,7.8542,S,female,3.0,,,0
29.0,7.0458,S,male,3.0,,,0
22.0,7.25,S,male,3.0,,,0
22.0,7.7958,S,male,3.0,,,0
35.0,8.05,S,male,3.0,,,0
18.5,7.2833,Q,female,3.0,299.0,,0
21.0,7.8208,Q,male,3.0,,,1
19.0,6.75,Q,male,3.0,,,0
18.0,7.8792,Q,female,3.0,,,0
21.0,8.6625,S,female,3.0,,,0
30.0,8.6625,S,female,3.0,,,0
18.0,8.6625,S,male,3.0,,,0
38.0,8.6625,S,male,3.0,,,0
17.0,8.6625,S,male,3.0,,,0
17.0,8.6625,S,male,3.0,,,0
21.0,7.75,Q,female,3.0,,,0
21.0,7.75,Q,male,3.0,,,0
21.0,8.05,S,male,3.0,,,0
,14.4583,C,male,3.0,,,0
,14.4583,C,female,3.0,,,0
28.0,7.7958,S,male,3.0,,,0
24.0,7.8542,S,male,3.0,,,0
16.0,7.75,Q,female,3.0,,,1
37.0,7.75,Q,female,3.0,,,0
28.0,7.25,S,male,3.0,,,0
24.0,8.05,S,male,3.0,,,0
21.0,7.7333,Q,male,3.0,,,0
32.0,56.4958,S,male,3.0,,,1
29.0,8.05,S,male,3.0,,,0
26.0,14.4542,C,male,3.0,,,0
18.0,14.4542,C,male,3.0,,,0
20.0,7.05,S,male,3.0,,,0
18.0,8.05,S,male,3.0,,,1
24.0,7.25,Q,male,3.0,,,0
36.0,7.4958,S,male,3.0,,,0
24.0,7.4958,S,male,3.0,,,0
31.0,7.7333,Q,male,3.0,,,0
31.0,7.75,Q,male,3.0,,,0
22.0,7.75,Q,female,3.0,,,1
30.0,7.6292,Q,female,3.0,,,0
70.5,7.75,Q,male,3.0,171.0,,0
43.0,8.05,S,male,3.0,,,0
35.0,7.8958,S,male,3.0,,,0
27.0,7.8958,S,male,3.0,,,0
19.0,7.8958,S,male,3.0,,,0
30.0,8.05,S,male,3.0,,,0
9.0,15.9,S,male,3.0,,,1
3.0,15.9,S,male,3.0,,,1
36.0,15.9,S,female,3.0,,,1
59.0,7.25,S,male,3.0,,,0
19.0,8.1583,S,male,3.0,,,0
17.0,16.1,S,female,3.0,,,1
44.0,16.1,S,male,3.0,,,0
17.0,8.6625,S,male,3.0,,,0
22.5,7.225,C,male,3.0,9.0,,0
45.0,8.05,S,male,3.0,,,1
22.0,10.5167,S,female,3.0,,,0
19.0,10.1708,S,male,3.0,,,0
30.0,6.95,Q,female,3.0,,,1
29.0,7.75,Q,male,3.0,,,1
0.3333,14.4,S,male,3.0,,,0
34.0,14.4,S,male,3.0,197.0,,0
28.0,14.4,S,female,3.0,,,0
27.0,7.8958,S,male,3.0,,,0
25.0,7.8958,S,male,3.0,,,0
24.0,24.15,S,male,3.0,,,0
22.0,8.05,S,male,3.0,,,0
21.0,24.15,S,male,3.0,,,0
17.0,8.05,S,male,3.0,,,0
,16.1,S,male,3.0,,,0
,16.1,S,female,3.0,,,1
36.5,17.4,S,male,3.0,,,1
36.0,17.4,S,female,3.0,,,1
30.0,9.5,S,male,3.0,,,1
16.0,9.5,S,male,3.0,,,0
1.0,20.575,S,male,3.0,,,1
0.1667,20.575,S,female,3.0,,,1
26.0,20.575,S,male,3.0,,,0
33.0,20.575,S,female,3.0,,,1
25.0,7.8958,S,male,3.0,,,0
,7.8958,S,male,3.0,,,0
,7.8958,S,male,3.0,,,0
22.0,7.25,S,male,3.0,,,0
36.0,7.25,S,male,3.0,,,0
19.0,7.8792,Q,female,3.0,,,1
17.0,7.8958,S,male,3.0,,,0
42.0,8.6625,S,male,3.0,,,0
43.0,7.8958,S,male,3.0,,,0
,7.2292,C,male,3.0,,,0
32.0,7.75,Q,male,3.0,,,0
19.0,8.05,S,male,3.0,,,1
30.0,12.475,S,female,3.0,,,1
24.0,7.75,Q,female,3.0,,,0
23.0,8.05,S,female,3.0,,,1
33.0,7.8958,C,male,3.0,51.0,,0
65.0,7.75,Q,male,3.0,,,0
24.0,7.55,S,male,3.0,,,1
23.0,13.9,S,male,3.0,,,0
22.0,13.9,S,female,3.0,,,1
18.0,7.775,S,male,3.0,,,0
16.0,7.775,S,male,3.0,,,0
45.0,6.975,S,male,3.0,,,0
,7.225,C,male,3.0,,,0
39.0,7.2292,C,male,3.0,,,0
17.0,7.2292,C,male,3.0,,,0
15.0,7.2292,C,male,3.0,,,0
47.0,7.25,S,male,3.0,,,0
5.0,12.475,S,female,3.0,,,1
,7.225,C,male,3.0,,,0
40.5,15.1,S,male,3.0,187.0,,0
40.5,7.75,Q,male,3.0,68.0,,0
,7.05,S,male,3.0,,,1
18.0,7.7958,S,male,3.0,,,0
,7.75,Q,female,3.0,,,0
,7.75,Q,male,3.0,,,0
,6.95,Q,male,3.0,,,0
26.0,7.8792,Q,male,3.0,,,0
,7.75,Q,male,3.0,,,0
,56.4958,S,male,3.0,,,1
21.0,34.375,S,female,3.0,,,0
9.0,34.375,S,female,3.0,,,0
,8.05,S,male,3.0,,,0
18.0,34.375,S,male,3.0,,,0
16.0,34.375,S,male,3.0,,,0
48.0,34.375,S,female,3.0,,,0
,7.75,Q,male,3.0,,,0
,7.25,S,male,3.0,,,0
25.0,7.7417,Q,male,3.0,,,0
,14.5,S,male,3.0,,,0
,7.8958,C,male,3.0,,,0
22.0,8.05,S,male,3.0,47.0,,0
16.0,7.7333,Q,female,3.0,,,1
,7.75,Q,female,3.0,,,1
9.0,20.525,S,male,3.0,,,1
33.0,20.525,S,male,3.0,,,0
41.0,7.85,S,male,3.0,,,0
31.0,20.525,S,female,3.0,,,1
38.0,7.05,S,male,3.0,,,0
9.0,46.9,S,male,3.0,,,0
1.0,46.9,S,male,3.0,,,0
11.0,46.9,S,male,3.0,,,0
10.0,46.9,S,female,3.0,,,0
16.0,46.9,S,female,3.0,,,0
14.0,46.9,S,male,3.0,,,0
40.0,46.9,S,male,3.0,,,0
43.0,46.9,S,female,3.0,,,0
51.0,8.05,S,male,3.0,,,0
32.0,8.3625,S,male,3.0,,,0
,8.05,S,male,3.0,,,0
20.0,9.8458,S,male,3.0,,,0
37.0,7.925,S,male,3.0,98.0,,0
28.0,7.925,S,male,3.0,,,0
19.0,7.775,S,male,3.0,,,0
24.0,8.85,S,female,3.0,,,0
17.0,7.7333,Q,female,3.0,,,0
,19.9667,S,male,3.0,,,0
,19.9667,S,male,3.0,,,0
28.0,15.85,S,male,3.0,,,0
24.0,15.85,S,female,3.0,,,1
20.0,9.5,S,male,3.0,,,0
23.5,7.2292,C,male,3.0,188.0,,0
41.0,14.1083,S,male,3.0,,,0
26.0,7.8542,S,male,3.0,,,0
21.0,7.8542,S,male,3.0,69.0,,0
45.0,14.1083,S,female,3.0,,,1
,7.55,S,female,3.0,,,0
25.0,7.25,S,male,3.0,,,0
,6.8583,Q,male,3.0,,,0
11.0,18.7875,C,male,3.0,,,0
,7.75,Q,female,3.0,,,1
27.0,6.975,S,male,3.0,,,1
,56.4958,S,male,3.0,,,1
18.0,6.75,Q,female,3.0,,,0
26.0,7.925,S,female,3.0,,,1
23.0,7.925,S,female,3.0,,,0
22.0,8.9625,S,female,3.0,,,1
28.0,7.8958,S,male,3.0,306.0,,0
28.0,7.775,S,female,3.0,,,0
,7.75,Q,female,3.0,,,0
2.0,12.2875,S,female,3.0,,,1
22.0,12.2875,S,female,3.0,,,1
43.0,6.45,S,male,3.0,,,0
28.0,22.525,S,male,3.0,,,0
27.0,7.925,S,female,3.0,,,1
,7.75,Q,male,3.0,,,0
,8.05,S,female,3.0,,,1
42.0,7.65,S,male,3.0,120.0,F G63,0
,7.8875,S,male,3.0,,,1
30.0,7.2292,C,male,3.0,,,0
,7.8958,S,male,3.0,,,0
27.0,7.925,S,female,3.0,,,0
25.0,7.925,S,female,3.0,,,0
,7.8958,S,male,3.0,,,0
29.0,7.8958,C,male,3.0,,,1
21.0,7.7958,S,male,3.0,,,1
,7.05,S,male,3.0,,,0
20.0,7.8542,S,male,3.0,,,0
48.0,7.8542,S,male,3.0,,,0
17.0,7.0542,S,male,3.0,,,0
,7.75,Q,female,3.0,,,1
,8.1125,S,male,3.0,,,1
34.0,6.4958,S,male,3.0,143.0,,0
26.0,7.775,S,male,3.0,,,1
22.0,7.7958,S,male,3.0,156.0,,0
33.0,8.6542,S,male,3.0,285.0,,0
31.0,7.775,S,male,3.0,,,0
29.0,7.8542,S,male,3.0,,,0
4.0,11.1333,S,male,3.0,,,1
1.0,11.1333,S,female,3.0,,,1
49.0,0.0,S,male,3.0,,,0
33.0,7.775,S,male,3.0,37.0,,0
19.0,0.0,S,male,3.0,,,0
27.0,11.1333,S,female,3.0,,,1
,23.45,S,male,3.0,,,0
,23.45,S,female,3.0,,,0
,23.45,S,male,3.0,,,0
,23.45,S,female,3.0,,,0
23.0,7.8958,S,male,3.0,,,0
32.0,7.8542,S,male,3.0,,,1
27.0,7.8542,S,male,3.0,,,0
20.0,9.825,S,female,3.0,,,0
21.0,9.825,S,female,3.0,,,0
32.0,7.925,S,male,3.0,,,1
17.0,7.125,S,male,3.0,,,0
21.0,8.4333,S,male,3.0,,,0
30.0,7.8958,S,male,3.0,,,0
21.0,7.7958,S,male,3.0,,,1
33.0,7.8542,S,male,3.0,,,0
22.0,7.5208,S,male,3.0,,,0
4.0,13.4167,C,female,3.0,,,1
39.0,13.4167,C,male,3.0,,,1
,7.2292,C,male,3.0,,,0
18.5,7.2292,C,male,3.0,58.0,,0
,7.75,Q,male,3.0,,,0
,7.25,S,male,3.0,,,0
,7.75,Q,female,3.0,,,1
,7.75,Q,female,3.0,,,1
34.5,7.8292,Q,male,3.0,70.0,,0
44.0,8.05,S,male,3.0,,,0
,7.75,Q,male,3.0,,,1
,14.4542,C,male,3.0,,,0
,14.4542,C,female,3.0,,,0
,7.75,Q,male,3.0,,,0
,7.75,Q,male,3.0,,,0
,7.7375,Q,male,3.0,,,0
22.0,8.6625,S,female,3.0,,,0
26.0,8.6625,S,male,3.0,,,0
4.0,22.025,S,female,3.0,,,1
29.0,22.025,S,male,3.0,,,1
26.0,22.025,S,female,3.0,,,1
1.0,12.1833,S,female,3.0,,,0
18.0,7.8542,S,male,3.0,,,0
36.0,12.1833,S,female,3.0,,,0
,7.8958,C,male,3.0,,,0
25.0,7.2292,C,male,3.0,,F E57,1
,7.225,C,male,3.0,,,0
37.0,9.5875,S,female,3.0,,,0
,7.8958,S,male,3.0,,,0
,56.4958,S,male,3.0,,,1
,56.4958,S,male,3.0,,,0
22.0,7.25,S,female,3.0,,,1
,7.75,Q,male,3.0,,,0
26.0,56.4958,S,male,3.0,,,1
29.0,9.4833,S,male,3.0,,,0
29.0,7.775,S,male,3.0,,,0
22.0,7.775,S,male,3.0,,,0
22.0,7.225,C,male,3.0,,,1
,25.4667,S,male,3.0,,,0
,25.4667,S,female,3.0,,,0
,25.4667,S,female,3.0,,,0
,25.4667,S,female,3.0,,,0
,25.4667,S,female,3.0,,,0
32.0,7.925,S,male,3.0,,,0
34.5,6.4375,C,male,3.0,196.0,,0
,15.5,Q,female,3.0,,,0
,15.5,Q,male,3.0,,,0
36.0,0.0,S,male,3.0,,,0
39.0,24.15,S,male,3.0,,,0
24.0,9.5,S,male,3.0,,,0
25.0,7.775,S,female,3.0,,,0
45.0,7.75,S,female,3.0,,,0
36.0,15.55,S,male,3.0,,,0
30.0,15.55,S,female,3.0,,,0
20.0,7.925,S,male,3.0,,,1
,7.8792,Q,male,3.0,,,0
28.0,56.4958,S,male,3.0,,,0
,7.55,S,male,3.0,,,0
30.0,16.1,S,male,3.0,,,0
26.0,16.1,S,female,3.0,,,0
,7.8792,S,male,3.0,153.0,,0
20.5,7.25,S,male,3.0,,,0
27.0,8.6625,S,male,3.0,,,1
51.0,7.0542,S,male,3.0,,,0
23.0,7.8542,S,female,3.0,,,1
32.0,7.5792,S,male,3.0,,,1
,7.8958,S,male,3.0,,,0
,7.55,S,male,3.0,,,0
,7.75,Q,female,3.0,,,1
24.0,7.1417,S,male,3.0,,,1
22.0,7.125,S,male,3.0,,,0
,7.8792,Q,female,3.0,,,0
,7.75,Q,male,3.0,,,0
,8.05,S,male,3.0,,,0
29.0,7.925,S,male,3.0,,,0
,7.2292,C,male,3.0,,,1
30.5,7.75,Q,female,3.0,61.0,,0
,7.7375,Q,female,3.0,,,1
,7.2292,C,male,3.0,,F E46,0
35.0,7.8958,C,male,3.0,,,0
33.0,7.8958,S,male,3.0,,,0
,7.225,C,female,3.0,,,1
,7.8958,C,male,3.0,,,0
,7.75,Q,female,3.0,,,1
,7.75,Q,male,3.0,,,1
,23.25,Q,female,3.0,,,1
,23.25,Q,female,3.0,,,1
,23.25,Q,male,3.0,,,1
,7.7875,Q,female,3.0,,,1
,15.5,Q,male,3.0,,,0
,7.8792,Q,female,3.0,,,1
15.0,8.0292,Q,female,3.0,,,1
35.0,7.75,Q,female,3.0,,,0
,7.75,Q,male,3.0,,,0
24.0,16.1,S,male,3.0,,,0
19.0,16.1,S,female,3.0,53.0,,0
,7.75,Q,female,3.0,,,0
,8.05,S,female,3.0,,,0
,8.05,S,female,3.0,,,0
55.5,8.05,S,male,3.0,201.0,,0
,7.75,Q,male,3.0,,,0
21.0,7.775,S,male,3.0,,,1
,8.05,S,male,3.0,,,0
24.0,7.8958,S,male,3.0,,,0
21.0,7.8958,S,male,3.0,,,0
28.0,7.8958,S,male,3.0,,,0
,7.8958,S,male,3.0,,,0
,7.8792,Q,female,3.0,,,1
25.0,7.65,S,male,3.0,309.0,F G73,0
6.0,12.475,S,male,3.0,,E121,1
27.0,12.475,S,female,3.0,,E121,1
,8.05,S,male,3.0,,,0
,24.15,Q,female,3.0,,,1
,24.15,Q,male,3.0,,,0
,8.4583,Q,male,3.0,,,0
34.0,8.05,S,male,3.0,,,0
,7.75,Q,male,3.0,,,0
,7.775,S,male,3.0,,,1
,15.2458,C,male,3.0,,,1
,15.2458,C,male,3.0,,,1
,15.2458,C,female,3.0,,,1
,7.2292,C,female,3.0,,,1
,8.05,S,male,3.0,,,0
,7.7333,Q,female,3.0,,,1
24.0,7.75,Q,female,3.0,,,1
,8.05,S,male,3.0,,,0
,15.5,Q,female,3.0,,,1
,15.5,Q,female,3.0,,,1
,15.5,Q,female,3.0,,,1
18.0,7.75,S,male,3.0,,,0
22.0,7.8958,S,male,3.0,,,0
15.0,7.225,C,female,3.0,,,1
1.0,15.7417,C,female,3.0,,,1
20.0,15.7417,C,male,3.0,,,1
19.0,15.7417,C,female,3.0,,,1
33.0,8.05,S,male,3.0,,,0
,7.8958,S,male,3.0,,,0
,7.2292,C,male,3.0,,,0
,7.75,Q,female,3.0,,,0
,7.8958,S,male,3.0,,,0
12.0,11.2417,C,male,3.0,,,1
14.0,11.2417,C,female,3.0,,,1
29.0,7.925,S,female,3.0,,,0
28.0,8.05,S,male,3.0,,,0
18.0,7.775,S,female,3.0,,,1
26.0,7.8542,S,female,3.0,,,1
21.0,7.8542,S,male,3.0,,,0
41.0,7.125,S,male,3.0,,,0
39.0,7.925,S,male,3.0,,,1
21.0,7.8,S,male,3.0,,,0
28.5,7.2292,C,male,3.0,181.0,,0
22.0,7.75,S,female,3.0,,,1
61.0,6.2375,S,male,3.0,,,0
,15.5,Q,male,3.0,,,0
,7.8292,Q,male,3.0,,,0
,15.5,Q,female,3.0,,,1
,7.7333,Q,male,3.0,,,0
,7.75,Q,male,3.0,,,0
,7.75,Q,male,3.0,,,0
23.0,9.225,S,male,3.0,,,0
,7.75,Q,female,3.0,,,0
,7.75,Q,female,3.0,,,1
,7.8792,Q,female,3.0,,,1
22.0,7.775,S,female,3.0,,,1
,7.75,Q,male,3.0,,,1
,7.8292,Q,female,3.0,,,1
9.0,3.1708,S,male,3.0,,,1
28.0,22.525,S,male,3.0,173.0,,0
42.0,8.4042,S,male,3.0,,,0
,7.3125,S,male,3.0,,,0
31.0,7.8542,S,female,3.0,,,0
28.0,7.8542,S,male,3.0,,,0
32.0,7.775,S,male,3.0,,,1
20.0,9.225,S,male,3.0,89.0,,0
23.0,8.6625,S,female,3.0,,,0
20.0,8.6625,S,female,3.0,,,0
20.0,8.6625,S,male,3.0,,,0
16.0,9.2167,S,male,3.0,,,0
31.0,8.6833,S,female,3.0,,,1
,7.6292,Q,female,3.0,,,0
2.0,21.075,S,male,3.0,4.0,,0
6.0,21.075,S,male,3.0,,,0
3.0,21.075,S,female,3.0,,,0
8.0,21.075,S,female,3.0,,,0
29.0,21.075,S,female,3.0,206.0,,0
1.0,39.6875,S,male,3.0,,,0
7.0,39.6875,S,male,3.0,,,0
2.0,39.6875,S,male,3.0,,,0
16.0,39.6875,S,male,3.0,,,0
14.0,39.6875,S,male,3.0,,,0
41.0,39.6875,S,female,3.0,,,0
21.0,8.6625,S,male,3.0,,,0
19.0,14.5,S,male,3.0,,,0
,8.7125,C,male,3.0,,,0
32.0,7.8958,S,male,3.0,,,0
0.75,13.775,S,male,3.0,,,0
3.0,13.775,S,female,3.0,,,0
26.0,13.775,S,female,3.0,,,0
,7.0,S,male,3.0,,,0
,7.775,S,male,3.0,,,0
,8.05,S,male,3.0,,,0
21.0,7.925,S,male,3.0,,,0
25.0,7.925,S,male,3.0,,,0
22.0,7.25,S,male,3.0,,,0
25.0,7.775,S,male,3.0,,,1
,22.3583,C,male,3.0,,,1
,22.3583,C,female,3.0,,F E69,1
,22.3583,C,female,3.0,,,1
,8.1375,Q,female,3.0,,,0
24.0,8.05,S,male,3.0,,,0
28.0,7.8958,S,female,3.0,,,0
19.0,7.8958,S,male,3.0,,,0
,7.8958,S,male,3.0,,,0
25.0,7.775,S,male,3.0,,,0
18.0,7.775,S,female,3.0,,,0
32.0,8.05,S,male,3.0,,E10,1
,7.8958,S,male,3.0,,,0
17.0,8.6625,S,male,3.0,,,0
24.0,8.6625,S,male,3.0,,,0
,7.8958,S,male,3.0,,,0
,8.1125,S,female,3.0,,,0
,7.2292,C,male,3.0,,,0
,7.25,S,male,3.0,,,0
38.0,7.8958,S,male,3.0,,,0
21.0,8.05,S,male,3.0,,,0
10.0,29.125,Q,male,3.0,,,0
4.0,29.125,Q,male,3.0,,,0
7.0,29.125,Q,male,3.0,,,0
2.0,29.125,Q,male,3.0,,,0
8.0,29.125,Q,male,3.0,,,0
39.0,29.125,Q,female,3.0,327.0,,0
22.0,39.6875,S,female,3.0,,,0
35.0,7.125,S,male,3.0,,,0
,7.7208,Q,female,3.0,,,1
,14.5,S,male,3.0,,,0
,14.5,S,female,3.0,,,0
50.0,14.5,S,male,3.0,119.0,,0
47.0,14.5,S,female,3.0,7.0,,0
,8.05,S,male,3.0,,,0
,7.775,S,male,3.0,,,0
2.0,20.2125,S,female,3.0,,,0
18.0,20.2125,S,male,3.0,,,0
41.0,20.2125,S,female,3.0,,,0
,8.05,S,female,3.0,,,1
50.0,8.05,S,male,3.0,,,0
16.0,8.05,S,male,3.0,,,0
,7.75,Q,male,3.0,,,1
,24.15,Q,male,3.0,,,0
,7.2292,C,male,3.0,,,0
25.0,7.225,C,male,3.0,,,0
,7.225,C,male,3.0,,,0
,7.7292,Q,male,3.0,,,0
,7.575,S,male,3.0,,,0
38.5,7.25,S,male,3.0,32.0,,0
,69.55,S,male,3.0,,,0
14.5,69.55,S,male,3.0,67.0,,0
,69.55,S,female,3.0,,,0
,69.55,S,female,3.0,,,0
,69.55,S,female,3.0,,,0
,69.55,S,female,3.0,,,0
,69.55,S,male,3.0,,,0
,69.55,S,male,3.0,,,0
,69.55,S,male,3.0,,,0
,69.55,S,male,3.0,,,0
,69.55,S,female,3.0,,,0
24.0,9.325,S,male,3.0,,,0
21.0,7.65,S,female,3.0,,,1
39.0,7.925,S,male,3.0,,,0
,21.6792,C,male,3.0,,,0
,21.6792,C,male,3.0,,,0
,21.6792,C,male,3.0,,,0
1.0,16.7,S,female,3.0,,G6,1
24.0,16.7,S,female,3.0,,G6,1
4.0,16.7,S,female,3.0,,G6,1
25.0,9.5,S,male,3.0,,,1
20.0,8.05,S,male,3.0,,,0
24.5,8.05,S,male,3.0,284.0,,0
,7.725,Q,male,3.0,,,0
,7.8958,S,male,3.0,,,0
,7.75,Q,male,3.0,,,0
29.0,9.5,S,male,3.0,,,1
,15.1,S,male,3.0,,,0
,7.7792,Q,female,3.0,,,1
,8.05,S,male,3.0,,,0
,8.05,S,male,3.0,,,0
22.0,7.2292,C,male,3.0,,,0
,8.05,S,male,3.0,,,0
40.0,7.8958,S,male,3.0,,,0
21.0,7.925,S,male,3.0,,,0
18.0,7.4958,S,female,3.0,,,1
4.0,27.9,S,male,3.0,,,0
10.0,27.9,S,male,3.0,,,0
9.0,27.9,S,female,3.0,,,0
2.0,27.9,S,female,3.0,,,0
40.0,27.9,S,male,3.0,,,0
45.0,27.9,S,female,3.0,,,0
,7.8958,S,male,3.0,,,0
,8.05,S,male,3.0,,,0
,8.6625,S,male,3.0,,,0
,7.75,Q,male,3.0,,,0
,7.7333,Q,female,3.0,,,1
19.0,7.65,S,male,3.0,,F G73,0
30.0,8.05,S,male,3.0,,,0
,8.05,S,male,3.0,,,0
32.0,8.05,S,male,3.0,,,0
,7.8958,S,male,3.0,,,0
33.0,8.6625,C,male,3.0,,,0
23.0,7.55,S,female,3.0,,,1
21.0,8.05,S,male,3.0,,,0
60.5,,S,male,3.0,261.0,,0
19.0,7.8958,S,male,3.0,,,0
22.0,9.8375,S,female,3.0,,,0
31.0,7.925,S,male,3.0,,,1
27.0,8.6625,S,male,3.0,,,0
2.0,10.4625,S,female,3.0,,G6,0
29.0,10.4625,S,female,3.0,,G6,0
16.0,8.05,S,male,3.0,,,1
44.0,7.925,S,male,3.0,,,1
25.0,7.05,S,male,3.0,,,0
74.0,7.775,S,male,3.0,,,0
14.0,9.225,S,male,3.0,,,1
24.0,7.7958,S,male,3.0,,,0
25.0,7.7958,S,male,3.0,,,1
34.0,8.05,S,male,3.0,176.0,,0
0.4167,8.5167,C,male,3.0,,,1
,6.4375,C,male,3.0,,,0
,6.4375,C,male,3.0,,,0
,7.225,C,male,3.0,,,0
16.0,8.5167,C,female,3.0,,,1
,8.05,S,male,3.0,,,0
,16.1,S,male,3.0,,,0
,16.1,S,female,3.0,,,1
32.0,7.925,S,male,3.0,,,0
,7.75,Q,male,3.0,,F38,0
,7.8958,S,male,3.0,,,0
30.5,8.05,S,male,3.0,50.0,,0
44.0,8.05,S,male,3.0,,,0
,7.2292,C,male,3.0,,,0
25.0,0.0,S,male,3.0,,,1
,7.2292,C,male,3.0,,,0
7.0,15.2458,C,male,3.0,,,1
9.0,15.2458,C,female,3.0,,,1
29.0,15.2458,C,female,3.0,,,1
36.0,7.8958,S,male,3.0,,,0
18.0,9.8417,S,female,3.0,,,1
63.0,9.5875,S,female,3.0,,,1
,14.5,S,male,3.0,,,0
11.5,14.5,S,male,3.0,1.0,,0
40.5,14.5,S,male,3.0,255.0,,0
10.0,24.15,S,female,3.0,,,0
36.0,24.15,S,male,3.0,,,0
30.0,24.15,S,female,3.0,,,0
,9.5,S,male,3.0,,,0
33.0,9.5,S,male,3.0,,,0
28.0,9.5,S,male,3.0,,,0
28.0,9.5,S,male,3.0,,,0
47.0,9.0,S,male,3.0,,,0
18.0,18.0,S,female,3.0,,,0
31.0,18.0,S,male,3.0,,,0
16.0,18.0,S,male,3.0,,,0
31.0,18.0,S,female,3.0,,,0
22.0,7.225,C,male,3.0,,,1
20.0,7.8542,S,male,3.0,,,0
14.0,7.8542,S,female,3.0,,,0
22.0,7.8958,S,male,3.0,,,0
22.0,9.0,S,male,3.0,,,0
,8.05,S,male,3.0,,,0
,7.55,S,male,3.0,,,0
,8.05,S,male,3.0,,,0
32.5,9.5,S,male,3.0,298.0,,0
38.0,7.2292,C,female,3.0,,,1
51.0,7.75,S,male,3.0,,,0
18.0,6.4958,S,male,3.0,314.0,,0
21.0,6.4958,S,male,3.0,,,0
47.0,7.0,S,female,3.0,,,1
,8.7125,S,male,3.0,,,0
,7.55,S,male,3.0,,,0
,8.05,S,male,3.0,,,0
28.5,16.1,S,male,3.0,14.0,,0
21.0,7.25,S,male,3.0,,,0
27.0,8.6625,S,male,3.0,131.0,,0
,7.25,S,male,3.0,,,0
36.0,9.5,S,male,3.0,,,0
27.0,14.4542,C,male,3.0,,,0
15.0,14.4542,C,female,3.0,,,1
45.5,7.225,C,male,3.0,312.0,,0
,7.225,C,male,3.0,,,0
,14.4583,C,male,3.0,,,0
14.5,14.4542,C,female,3.0,328.0,,0
,14.4542,C,female,3.0,,,0
26.5,7.225,C,male,3.0,304.0,,0
27.0,7.225,C,male,3.0,,,0
29.0,7.875,S,male,3.0,,,0
